"","IDROAD","IDREL_A","IDREL_B","N_POST","LENGTH","MAX_SLOPE","AVG_SLOPE","SPEED","TIME"
"1","1","409","498",1,8.15,7.74,2.16,9.12,54
"2","2","421","417",1.25,9.407,9.32,1.58,8.94,63
"3","6","285","284",1.5,9.708,11.21,2.36,8.56,68
"4","7","284","282",1.5,12.202,8.25,2.12,7.92,92
"5","8","287","279",1,8.42,6.44,2.44,8.92,57
"6","9","27","25",1.5,10.3,6.68,1.96,8.55,72
"7","10","25","23",1,9.027,4.83,1.5,9.08,60
"8","11","199","197",1,6.277,11.31,4.41,8.39,45
"9","12","183","392",1.5,12.317,24.68,6.83,7.5,99
"10","13","109","108",1.75,11.434,31.4,8.17,7.5,91
"11","14","106","104",2,13.023,14.69,3.26,7.5,104
"12","15","107","104",1,7.58,2.05,0.29,9.72,47
"13","16","466","107",1,7.906,0.41,0.12,9.63,49
"14","17","132","466",1,6.519,2.26,0.63,10.01,39
"15","18","132","129",1.5,10.706,7.19,2.28,8.3,77
"16","21","55","53",1,9.097,13.19,2.04,8.88,61
"17","24","56","48",2,16.008,11.64,2,7.5,128
"18","25","52","49",2,16.101,10,2.41,7.5,129
"19","26","49","50",1.5,10.99,31.77,7.78,7.5,88
"20","27","54","48",3,23.61,22.83,5.35,7.5,189
"21","28","54","50",3,11.245,66.13,20.38,7.5,90
"22","29","462","456",2,13.314,41.18,7.73,7.5,107
"23","30","29","28",2,8.544,26.59,5.63,7.5,68
"24","31","464","460",1.5,10.216,26.58,7.03,7.5,82
"25","32","464","461",1.5,11.942,23.08,2.98,7.6,94
"26","33","459","461",2,14.481,5.73,1.07,7.55,115
"27","34","457","463",1.5,11.311,22.51,1.76,8.31,82
"28","37","388","4",1.5,11.341,11.56,1.41,8.41,81
"29","38","5","4",1.5,8.523,6.43,1.26,9.29,55
"30","40","9","1",1.5,9.197,51.59,10.41,7.5,74
"31","41","9","6",1,4.519,63.79,14.73,7.5,36
"32","42","6","7",1.5,10.604,45.02,14.62,7.5,85
"33","43","7","2",1.5,5.86,45.78,13.18,7.5,47
"34","45","182","181",1,7.159,12.6,3.97,8.43,51
"35","46","181","179",1.25,10.63,13.97,3.36,7.77,82
"36","47","180","176",1.5,11.739,11.99,1.31,8.32,85
"37","48","184","180",1.5,12.254,11.45,2.71,7.64,96
"38","49","177","184",1,14.166,31.34,6.76,7.5,113
"39","52","486","485",1.5,11.56,9.23,1.76,8.24,84
"40","53","486","488",1.75,13.038,16.09,1.62,7.84,100
"41","55","93","88",1.5,15.094,7.6,1.43,7.5,121
"42","58","402","398",2,16.435,3.25,0.76,7.5,131
"43","59","403","402",1.5,9.248,11.62,2.27,8.74,63
"44","66","355","348",1.25,13.315,13.8,2.09,7.59,105
"45","67","351","348",1.5,10.435,9.24,2.07,8.47,74
"46","68","346","351",1.5,13.22,7.58,1.2,7.9,100
"47","70","352","350",2,14.34,21.85,4.53,7.5,115
"48","71","354","350",1.5,11.704,18.96,3.72,7.5,94
"49","75","345","22",1,8.621,7.17,1.85,9.09,57
"50","76","353","345",1.75,16.42,8.69,1.51,7.5,131
"51","77","353","346",1.5,12.56,27.43,6.52,7.5,100
"52","78","130","129",1.25,8.052,7.75,1.29,9.42,51
"53","79","135","131",1.75,11.7,6.04,0.84,8.42,83
"54","80","156","135",1.75,14.111,1.11,0.24,7.76,109
"55","82","158","153",1,9.502,15.47,1.88,8.82,65
"56","83","158","46",2,15.326,6.55,1.03,7.5,123
"57","88","493","492",1,7.052,17.17,3.71,8.63,49
"58","89","214","212",2.5,20.728,3.73,0.45,7.5,166
"59","91","82","81",1.5,7.94,16.22,5.54,7.5,64
"60","92","220","219",2.5,10.937,15.92,5.22,7.5,87
"61","95","139","140",2,17.182,0.88,0.21,7.5,137
"62","96","136","140",1.5,10.124,1.19,0.39,8.95,68
"63","99","43","141",1.5,12.219,10.26,3.01,7.5,98
"64","100","43","42",1,8.932,3.3,0.96,9.23,58
"65","101","47","42",1.5,11.449,7.2,1.52,8.34,82
"66","111","151","149",1,7.655,7.91,1.91,9.36,49
"67","112","222","149",1.5,10.717,2.33,0.35,8.77,73
"68","113","222","224",2,17.127,1.96,0.37,7.5,137
"69","115","478","475",1.5,10.195,10.25,3.09,8.06,76
"70","123","349","346",1.75,13.369,17.2,4.36,7.5,107
"71","127","190","192",1.5,9.643,4.58,1.79,8.8,66
"72","130","472","467",1,7.965,3.4,0.58,9.58,50
"73","131","473","470",2,11.281,10.74,1.98,8.25,82
"74","132","469","468",1.25,10.097,3.98,0.84,8.9,68
"75","137","73","70",1.5,6.037,5.61,1.37,10.01,36
"76","138","520","147",1,9.171,5.14,0.71,9.2,60
"77","141","524","356",1.5,11.151,11.06,2.69,7.98,84
"78","142","359","358",1.5,4.701,7.74,2.17,10.15,28
"79","145","432","434",1.5,9.872,2.9,0.76,8.98,66
"80","146","433","432",1.5,11.885,2.59,0.72,8.38,85
"81","147","77","76",1,7.539,1.61,0.87,9.67,47
"82","149","174","171",1.5,9.742,1.04,0.18,9.07,64
"83","151","207","203",1.5,11.444,2.9,0.47,8.55,80
"84","157","229","226",1,7.642,3.79,1.3,9.55,48
"85","158","226","207",1.5,12.984,3.92,0.73,8.05,97
"86","159","206","203",1.25,8.44,9.38,2.04,9.07,56
"87","160","206","204",1.75,9.932,14.29,4.24,7.5,79
"88","161","205","204",1.5,15.033,6.13,1.01,7.5,120
"89","164","122","126",2.25,17.477,9.51,1.44,7.5,140
"90","165","123","122",2.25,18.617,6.24,0.8,7.5,149
"91","168","406","127",2.5,19.541,14.41,3.11,7.5,156
"92","169","405","406",2.25,18.322,4.49,0.76,7.5,147
"93","172","407","404",2.5,18.118,9.67,1.53,7.5,145
"94","173","90","89",2,16.687,1.98,0.51,7.5,133
"95","174","90","87",1.5,13.73,1.88,0.37,7.87,105
"96","175","185","87",2,14.042,14.42,2.42,7.5,112
"97","176","185","186",2,14.016,4.21,1.21,7.65,110
"98","177","186","103",1.5,12.021,8.09,1.64,8.14,89
"99","178","103","100",2,17.71,5.57,1.54,7.5,142
"100","180","99","101",2,11.316,30.32,8.75,7.5,91
"101","181","409","497",1,6.081,2.28,0.54,10.15,36
"102","183","422","416",2,14.916,5.76,1.19,7.5,119
"103","184","425","422",1,7.697,2.22,0.69,9.65,48
"104","185","427","38",2,16.681,8.53,1.69,7.5,133
"105","186","40","37",2.5,17.7,26.99,3.57,7.5,142
"106","189","396","395",1.5,11.37,11.65,3.04,7.73,88
"107","190","396","393",1.5,9.68,14.51,3.71,7.85,74
"108","192","423","418",2,14.723,12.21,1.5,7.5,118
"109","2549","1900","147",1,10.499,5.46,1.35,8.68,73
"110","194","246","243",1,7.694,13.74,5.07,7.5,62
"111","202","371","275",1.5,7.885,26.22,9.28,7.5,63
"112","203","371","368",1.5,15.554,4.51,1.4,7.5,124
"113","204","367","368",2,17.578,7.39,1.62,7.5,141
"114","207","367","363",1.5,11.449,4.74,1.25,8.42,82
"115","208","363","373",2,16.813,1.5,0.27,7.5,135
"116","211","373","365",1.5,11.778,0.78,0.18,8.46,84
"117","212","365","362",1.5,14.931,0.58,0.17,7.52,119
"118","213","372","362",2,16.322,1.14,0.23,7.5,131
"119","220","382","369",2,16.201,0.8,0.17,7.5,130
"120","224","409","515",1.5,10.22,1.64,0.48,8.91,69
"121","225","313","419",1.5,13.577,11.64,1.16,7.8,104
"122","228","19","10",2,15.717,17.13,3.07,7.5,126
"123","229","245","10",1.5,11.289,12.88,3.44,7.53,90
