dataset,C_DC_5,C_SC_9,bucket,n,min_value,max_value,share
Aretail,1,1,Top 25% (>= Q3),0,,,0
Aretail,1,1,Zero (== 0),2164,0,0,57.6
Aretail,1,1,< 0.5 (non-zero),793,0.000185251,0.499637008,21.1
Aretail,1,1,0.5 to < Q3,798,0.503301322,4.313121319,21.3
Aretail,1,2,Top 25% (>= Q3),188,6.221045017,14.05615902,0.9
Aretail,1,2,Zero (== 0),8431,0,0,41.2
Aretail,1,2,< 0.5 (non-zero),4341,2.00272E-05,0.499653935,21.2
Aretail,1,2,0.5 to < Q3,7524,0.500003397,6.15794754,36.7
Aretail,1,3,Top 25% (>= Q3),282,6.36530447,32.65491867,2.1
Aretail,1,3,Zero (== 0),6790,0,0,51.5
Aretail,1,3,< 0.5 (non-zero),2441,0.000101328,0.499067783,18.5
Aretail,1,3,0.5 to < Q3,3667,0.500571549,6.122162819,27.9
Aretail,1,4,Top 25% (>= Q3),18,6.227926731,6.746332645,0.5
Aretail,1,4,Zero (== 0),151,0,0,4.2
Aretail,1,4,< 0.5 (non-zero),744,0.000673652,0.499377966,20.8
Aretail,1,4,0.5 to < Q3,2661,0.50131464,6.162819862,74.5
Aretail,1,5,Top 25% (>= Q3),40,6.312889099,13.20882893,0.7
Aretail,1,5,Zero (== 0),3960,0,0,65.2
Aretail,1,5,< 0.5 (non-zero),1081,6.49691E-05,0.499484539,17.8
Aretail,1,5,0.5 to < Q3,993,0.500004649,6.121399403,16.3
Aretail,1,6,Top 25% (>= Q3),455,6.215984344,14.0934248,3.4
Aretail,1,6,Zero (== 0),4145,0,0,31.1
Aretail,1,6,< 0.5 (non-zero),2685,0.000427008,0.499844134,20.1
Aretail,1,6,0.5 to < Q3,6058,0.5001176,6.212750435,45.4
Aretail,2,1,Top 25% (>= Q3),1825,6.218437195,35.6824646,5.1
Aretail,2,1,Zero (== 0),9192,0,0,25.7
Aretail,2,1,< 0.5 (non-zero),6049,2.34246E-05,0.499966204,16.9
Aretail,2,1,0.5 to < Q3,18757,0.500229418,6.21368742,52.3
Aretail,2,2,Top 25% (>= Q3),455,6.219008446,27.28068924,2.9
Aretail,2,2,Zero (== 0),4785,0,0,30.3
Aretail,2,2,< 0.5 (non-zero),2529,0.000635922,0.499946177,16
Aretail,2,2,0.5 to < Q3,8015,0.500149012,6.200253487,50.8
Aretail,2,3,Top 25% (>= Q3),548,6.275431156,49.11703491,16.5
Aretail,2,3,Zero (== 0),1080,0,0,32.5
Aretail,2,3,< 0.5 (non-zero),1001,0.001784921,0.499234617,30.1
Aretail,2,3,0.5 to < Q3,697,0.500950098,6.189758301,20.9
Aretail,2,4,Top 25% (>= Q3),2639,6.214477062,24.46895981,10.6
Aretail,2,4,Zero (== 0),5915,0,0,23.6
Aretail,2,4,< 0.5 (non-zero),4159,7.77245E-05,0.499927282,16.6
Aretail,2,4,0.5 to < Q3,12298,0.500298262,6.212552547,49.2
Aretail,2,5,Top 25% (>= Q3),378,6.216037273,9.156892776,12
Aretail,2,5,Zero (== 0),786,0,0,25
Aretail,2,5,< 0.5 (non-zero),495,0.000816226,0.499167085,15.7
Aretail,2,5,0.5 to < Q3,1489,0.5010463,6.212395668,47.3
Aretail,2,6,Top 25% (>= Q3),588,6.216030121,28.68687248,5.2
Aretail,2,6,Zero (== 0),2438,0,0,21.7
Aretail,2,6,< 0.5 (non-zero),1993,0.000150502,0.499807119,17.7
Aretail,2,6,0.5 to < Q3,6240,0.500200212,6.213915348,55.4
Aretail,2,7,Top 25% (>= Q3),279,6.219152451,25.4696312,8.5
Aretail,2,7,Zero (== 0),775,0,0,23.5
